# Receiver Set: route rx                                                         
# Transmitter Set: tx                                                               
# Format: Path Number  Phase (Deg.)  Time (s)  Power (dBm)
     39
     1    191
    1   132.811   0.33231662E-08   -22.297
    2  -141.995   0.59579923E-08   -34.607
    3  -142.211   0.59581633E-08   -34.610
    4   130.288   0.60555427E-08   -35.619
    5   129.630   0.60560663E-08   -35.626
    6   -67.749   0.16902186E-07   -40.128
    7  -114.094   0.82129095E-08   -46.166
    8  -124.492   0.82214004E-08   -46.569
    9    89.955   0.17333704E-07   -48.782
   10     9.735   0.10537173E-07   -48.834
   11   117.589   0.17311642E-07   -48.837
   12    19.447   0.10556810E-07   -48.987
   13  -173.241   0.23834986E-07   -49.744
   14  -148.459   0.23815014E-07   -49.902
   15   169.647   0.23848092E-07   -50.011
   16    40.296   0.23289845E-07   -51.744
   17    76.406   0.24473087E-07   -54.620
   18   -95.914   0.25356647E-07   -57.360
   19    96.164   0.17563508E-06   -58.053
   20    97.281   0.17563481E-06   -58.071
   21   -51.077   0.25349550E-07   -58.218
   22   -66.682   0.25361516E-07   -58.340
   23  -174.570   0.98505630E-08   -59.221
   24  -169.149   0.10417765E-07   -60.619
   25   -99.332   0.15350688E-07   -61.087
   26    73.661   0.17622457E-06   -61.136
   27   111.301   0.15469235E-07   -61.221
   28    -3.503   0.27680919E-07   -62.343
   29   -89.657   0.59499072E-07   -62.385
   30    95.616   0.26463240E-06   -62.390
   31  -171.674   0.59705840E-07   -63.068
   32   -82.518   0.59493534E-07   -63.070
   33   174.047   0.59717173E-07   -63.071
   34   100.710   0.26463192E-06   -63.077
   35  -169.399   0.59703964E-07   -63.105
   36   -58.740   0.59617307E-07   -63.122
   37   178.037   0.59713798E-07   -63.179
   38  -163.059   0.59698955E-07   -63.584
   39  -179.025   0.59711802E-07   -63.755
   40  -177.626   0.59710423E-07   -63.892
   41  -177.927   0.60137410E-07   -63.949
   42  -126.956   0.11081626E-07   -63.958
   43  -100.785   0.10122172E-06   -64.075
   44  -177.524   0.60137033E-07   -64.178
   45   -54.592   0.11023984E-07   -64.191
   46   -99.322   0.10122059E-06   -64.275
   47  -179.443   0.59712022E-07   -64.323
   48   -74.232   0.10134280E-06   -64.485
   49    -8.392   0.10129119E-06   -64.508
   50   -73.599   0.10134222E-06   -64.523
   51  -128.987   0.11081774E-07   -64.631
   52   -72.212   0.10134116E-06   -64.721
   53   -78.958   0.10134668E-06   -64.852
   54   138.743   0.10160116E-06   -65.004
   55    16.189   0.11539201E-07   -65.378
   56   -37.268   0.26530375E-06   -65.453
   57   -76.905   0.60340760E-07   -65.480
   58   -72.618   0.60337356E-07   -65.480
   59   -35.709   0.10173873E-06   -65.698
   60   -62.688   0.60329832E-07   -65.764
   61    -2.339   0.22412888E-07   -65.851
   62   -30.621   0.10173473E-06   -65.880
   63    -9.194   0.10171759E-06   -65.952
   64   -70.699   0.60335786E-07   -65.972
   65   -77.865   0.60341343E-07   -66.041
   66   -15.189   0.10172194E-06   -66.175
   67    15.318   0.11538137E-07   -66.225
   68   -42.502   0.16436461E-07   -66.876
   69   113.344   0.60472047E-07   -67.005
   70   -95.171   0.10178325E-06   -67.032
   71    -8.530   0.10172377E-06   -67.184
   72   -37.570   0.16431017E-07   -67.190
   73   -78.139   0.60351965E-07   -67.233
   74   -82.314   0.17604459E-06   -67.294
   75   139.092   0.60451221E-07   -67.392
   76   -73.280   0.60348484E-07   -67.405
   77   144.008   0.60447157E-07   -67.691
   78    83.377   0.10235471E-06   -67.888
   79    88.218   0.10235090E-06   -68.059
   80   100.426   0.60482797E-07   -68.139
   81   130.342   0.60457658E-07   -68.356
   82   -98.108   0.10179280E-06   -68.736
   83  -136.701   0.61382657E-07   -68.780
   84   174.035   0.61421687E-07   -68.842
