distancia,Cp,andar
1,-53.64,1  
2,-50.12,1  
3,-42.56,1
4,-46.67,1  
5,-50.95,1  
6,-48.33,1  
7,-58.4,1  
8,-55.9,1  
9,-62.56,1  
10,-59.11,1  
11,-57.27,1  
12,-57.14,1  
13,-57.08,1  
14,-51.76,1  
15,-51.2,1  
16,-51.31,1  
17,-56.16,1  
18,-58.02,1  
19,-61.3,1  
20,-62.45,1  
21,-63.69,1  
22,-61.85,1  
23,-61.26,1  
24,-65.01,1  
25,-60.21,1  
26,-65.17,1  
27,-57.63,1  
28,-55.58,1  
29,-59.41,1  
30,-64.6,1  
31,-66.41,1  
32,-59.11,1  
33,-64.8,1  
34,-66.4,1 
35,-64.05,1  
36,-66.53,1  
37,-68.17,1  
38,-69.56,1
  








