distancia,Cp,andar
01,-22.77,0
02,-29.06,0
03,-30.7,0
04,-34.75,0
05,-34.74,0
06,-40.18,0
07,-33.58,0
08,-38.77,0
09,-43.04,0
10,-42.44,0
11,-42.21,0
12,-38.84,0
13,-38.42,0
14,-37.62,0
15,-35.37,0
16,-39.87,0
17,-37.27,0
18,-38.43,0
19,-38.74,0
20,-37.03,0
21,-37.78,0
22,-39.72,0
23,-39.18,0
24,-39.54,0
25,-39.36,0
26,-41.78,0
27,-44.27,0
28,-44.51,0
29,-46.18,0
30,-42.65,0
31,-40.99,0
32,-40.34,0
33,-39.45,0
34,-39.23,0
35,-39.25,0
36,-40.68,0
37,-40.03,0
38,-40.85,0
39,-40.76,0
1,-53.64,1  
2,-50.12,1  
3,-42.56,1
4,-46.67,1  
5,-50.95,1  
6,-48.33,1  
7,-58.4,1  
8,-55.9,1  
9,-62.56,1  
10,-59.11,1  
11,-57.27,1  
12,-57.14,1  
13,-57.08,1  
14,-51.76,1  
15,-51.2,1  
16,-51.31,1  
17,-56.16,1  
18,-58.02,1  
19,-61.3,1  
20,-62.45,1  
21,-63.69,1  
22,-61.85,1  
23,-61.26,1  
24,-65.01,1  
25,-60.21,1  
26,-65.17,1  
27,-57.63,1  
28,-55.58,1  
29,-59.41,1  
30,-64.6,1  
31,-66.41,1  
32,-59.11,1  
33,-64.8,1  
34,-66.4,1 
35,-64.05,1  
36,-66.53,1  
37,-68.17,1  
38,-69.56,1
  








