ID,X,Y,Z,Distance (m),Power (dBm),Phase
1,57.71054,-0.03949193,1.48,0.0,-21.3,0.0
2,56.71054,-0.03949193,1.48,1.0,-25.94,0.0
3,55.71054,-0.03949193,1.48,2.0,-27.57,0.0
4,54.71054,-0.03949193,1.48,3.0,-29.47,0.0
5,53.71054,-0.03949193,1.48,4.0,-30.42,0.0
6,52.71054,-0.03949193,1.48,5.0,-31.74,0.0
7,51.71054,-0.03949193,1.48,6.0,-32.73,0.0
8,50.71054,-0.03949193,1.48,7.0,-34.15,0.0
9,49.71054,-0.03949193,1.48,8.0,-34.69,0.0
10,48.71054,-0.03949193,1.48,9.0,-34.69,0.0
11,47.71054,-0.03949193,1.48,10.0,-35.47,0.0
12,46.71054,-0.03949193,1.48,11.0,-35.52,0.0
13,45.71054,-0.03949193,1.48,12.0,-35.79,0.0
14,44.71054,-0.03949193,1.48,13.0,-36.78,0.0
15,43.71054,-0.03949193,1.48,14.0,-37.58,0.0
16,42.71054,-0.03949193,1.48,15.0,-38.67,0.0
17,41.71054,-0.03949193,1.48,16.0,-39.64,0.0
18,40.71054,-0.03949193,1.48,17.0,-39.67,0.0
19,39.71054,-0.03949193,1.48,18.0,-39.75,0.0
20,38.71054,-0.03949193,1.48,19.0,-40.53,0.0
21,37.71054,-0.03949193,1.48,20.0,-40.79,0.0
22,36.71054,-0.03949193,1.48,21.0,-41.08,0.0
23,35.71054,-0.03949193,1.48,22.0,-41.15,0.0
24,34.71054,-0.03949193,1.48,23.0,-41.76,0.0
25,33.71054,-0.03949193,1.48,24.0,-42.08,0.0
26,32.71054,-0.03949193,1.48,25.0,-41.61,0.0
27,31.71054,-0.03949193,1.48,26.0,-41.54,0.0
28,30.71054,-0.03949193,1.48,27.0,-41.58,0.0
29,29.71054,-0.03949193,1.48,28.0,-42.08,0.0
30,28.71054,-0.03949193,1.48,29.0,-42.45,0.0
31,27.71054,-0.03949193,1.48,30.0,-42.75,0.0
32,26.71054,-0.03949193,1.48,31.0,-42.78,0.0
33,25.71054,-0.03949193,1.48,32.0,-43.51,0.0
34,24.71054,-0.03949193,1.48,33.0,-42.97,0.0
35,23.71054,-0.03949193,1.48,34.0,-42.95,0.0
36,22.71054,-0.03949193,1.48,35.0,-42.78,0.0
37,21.71054,-0.03949193,1.48,36.0,-42.99,0.0
38,20.71054,-0.03949193,1.48,37.0,-43.37,0.0
39,19.71054,-0.03949193,1.48,38.0,-44.16,0.0
